Rel,Year,ID,Status,Group,Album,Comments
33,73,254,SOLD,Hot Tuna,Hot Tuna,
72,74,255,BLUES,John Mayall,Moving On,
33,74,256,BLUES,Lightning Hopkins,Lightning Strikes,
33,74,257,BLUES,Otis Spann,Otis Spann,
33,74,258,BLUES,Various,The Blues,
33,74,259,BLUES,Mississippi John Hurt,Best Of,2
33,74,261,SOLD,Chuck Berry,StL to SFO to Memphis,2
33,74,263,BLUES,Various,Underground Blues,
72,74,264,BLUES,BB King,Guess Who,
65,74,265,BLUES,BB King,Live at the Regal,
33,74,266,BLUES,Various,Chicago Blues Anthology,2
33,74,268,FOLK,Doc Watson,Ballads from Deep Gap,
70,74,269,KEEP,Dead,Zabriskie Point,
74,74,270,SOLD,Garcia,Compliments Of,
74,74,271,CD,Dead,Mars Hotel,
74,74,272,FOLK,David Bromberg,Wanted Dead or Alive,
33,74,273,FOLK,Leo Kottke,Ice Water,
71,74,274,SOLD,Youngbloods,Good and Dusty,
33,74,275,BLUES,Buddy Guy,With Junior Wells,
72,74,276,KEEP,Brewer and Shipley,Rural Space,
72,74,277,BLUES,John Mayall,Jazz Blues Fusion,
33,74,278,SOLD,Dead Bootleg,
33,74,279,SOLD,Dead,Nights of the Living Bootleg,
33,74,280,SOLD,Dead,The Cowboys Dead Bootleg,
33,74,281,SOLD,Quicksilver,Happy Trails,
33,74,282,BLUES,Various,Steel Yard Blues,
33,74,283,BLUES,Barry Goldberg,Two Jews Blues,
33,74,284,STEVE,Memphis Slim,Bad Luck and Troubles,2
33,74,286,STEVE,Memphis Slim,South Side Reunion,
33,74,287,BLUES,Big Bill Broonzy,Feeling Lowdown,
33,74,288,BLUES,Tbone Walker,Dirty Mistreater,
33,74,289,BLUES,Big Joe Williams,Plums Look Mellow,
33,74,290,SOLD,Bill Wyman,Monkey Grip,
74,74,291,SOLD,Stones,Its Only Rock and Roll,
33,74,292,STEVE,Link Wray,Link Wray,
