:.,$!sort -t, -bk6,6 -k1,2n -bk7,7,,,
0,0,MC,1,JAZZ2,Billy Taylor,Solo,,
0,0,MC,1,JAZZ2,Bix Beiderbecke,At the Jazz Band Ball V2,,
0,0,MC,1,JAZZ2,Bix Beiderbecke,In A Mist,,
0,0,MC,1,JAZZ2,Bix Beiderbecke,Mississippi Mud,,
0,0,MC,2,JAZZ2,Bix Beiderbecke,Singing the Blues,,
0,0,CC,1,ROCK1,Black Keys,Turn Blue,,
690809,44,MD,2,ROCK4,Blind Faith,Blind Faith,Deluxe Edition,
0,0,CD,1,WOMEN,Blondie,Best Of,,
0,0,MC,1,WOMEN,Blondie,Greatest Hits,,
0,0,MC,1,FOLK1,Blue Highway,Its a Long Road,,
0,0,MC,1,DEAD1,Bob Weir,Weir + Wasserman Live,,
720501,210,MC,1,DEAD1,Bob Weir,Ace,,
720501,210,MD,1,DEAD1,Bob Weir,Ace,,
760399,355,LP,1,DEAD1,Bob Weir,Kingfish,,
760399,355,MC,1,DEAD1,Bob Weir,Kingfish,,
780113,469,MD,1,DEAD1,Bob Weir,Heaven Help The Fool,,
811021,470,LP,1,DEAD1,Bob Weir,Bobby and the Midnights,,
890905,0,M3,2,DEAD1,Bob Weir,Long Island Sound,,
0,0,MP,1,FOLK1,Bob Wills,Roly Poly,,
0,0,MC,1,JAZZ1,Bobby Hutcherson,For Sentimental Reasons,,
0,0,MC,1,JAZZ1,Bobby Hutcherson,Mirage,,
0,0,MP,1,WOMEN,Bonnie Raitt,Bonnie Raitt,,
0,0,MC,1,WOMEN,Bonnie Raitt,Collection,,
0,0,MC,1,WOMEN,Bonnie Raitt,Silver Lining,,
0,0,MC,1,WOMEN,Bonnie Raitt,Slipstream,,
720000,396,MC,1,WOMEN,Bonnie Raitt,Give It Up,+Let It Bleed,
720000,396,VL,1,WOMEN,Bonnie Raitt,Give It Up,,
0,0,CC,1,JAZZ4,Brad Mehldau,Art of the Trio,,
0,0,M3,1,JAZZ4,Brad Mehldau,Jacobs Ladder,,
0,0,CC,2,JAZZ4,Brad Mehldau,Live in Marciac,,
0,0,M3,1,JAZZ4,Brad Mehldau,Long Gone,+JoshuaRedmond,
0,0,CC,1,JAZZ4,Brad Mehldau,Ode,,
0,0,M3,1,JAZZ4,Brad Mehldau,Round Again,+JoshuaRedmond,
0,0,M3,1,JAZZ4,Brad Mehldau,Suite April 2020,,
0,0,M3,1,BEATL,Brad Mehldau,Your Mother Should Know,,
0,0,MC,1,ROCK4,Brad Paisley,5th Gear,,
0,0,MC,1,ROCK4,Brad Paisley,American Saturday Night,,
0,0,MC,1,ROCK4,Brad Paisley,Moonshine in the Trunk,,
0,0,MC,1,ROCK4,Brad Paisley,Part II,,
0,0,MC,1,ROCK4,Brad Paisley,Play,,
0,0,MC,1,ROCK4,Brad Paisley,This is Country Music,,
0,0,MC,1,ROCK4,Brad Paisley,Time Well Wasted,,
0,0,MC,1,ROCK4,Brad Paisley,Wheelhouse,,
0,0,MC,1,ROCK4,Brad Paisley,Who Needs Pictures,,
0,0,M3,1,CLASS,Brahms,Piano Trios,,
680000,157,KP,1,ROCK1,Brewer and Shipley,Down in LA,,
690000,158,KP,1,ROCK1,Brewer and Shipley,Weeds,,
700000,159,KP,1,ROCK1,Brewer and Shipley,Tarkio,,
710000,160,KP,1,ROCK1,Brewer and Shipley,Shake Off the Demon,,
720000,276,KP,1,ROCK1,Brewer and Shipley,Rural Space,,
0,0,MC,1,JAZZ1,Brian Bromberg,Downright Upright,,
0,0,M3,1,JAZZ1,Brian Eno,Mixing Colours,,
0,0,MP,1,ROCK1,Bruce Springsteen,Greatest Hits,,
0,0,MP,1,ROCK1,Bruce Springsteen,We Shall Overcome,,
0,0,MC,1,FOLK1,Buck Owens,Ultimate Collection,,
0,0,MC,1,JAZZ3,Bud Powell,Best Of,,
0,0,MC,1,JAZZ3,Bud Powell,The Amazing V3,,
490056,0,MD,4,JAZZ3,Bud Powell,Classic Recordings 1949-1956,,
0,0,CC,1,JAZZ1,Buddy DiFranco,You Must Believe in Swing,,
0,275,LP,1,BLUER,Buddy Guy,+Junior Wells,,
0,0,MC,1,BLUER,Buddy Guy,Blues Singer,,
0,0,MC,3,BLUER,Buddy Guy,Cant Quit the Blues,,
0,0,MC,1,BLUER,Buddy Guy,Damn Right Ive Got the Blues,,
0,0,MC,1,BLUER,Buddy Guy,Feels Like Rain,,
0,0,MC,1,BLUER,Buddy Guy,Heavy Love,,
0,238,LP,1,BLUER,Buddy Guy,Hold that Plane,,
0,317,LP,1,BLUER,Buddy Guy,Left My Blues in SF,,
0,0,MC,1,BLUER,Buddy Guy,Living Proof,,
0,0,MC,1,BLUER,Buddy Guy,Skin Deep,,
0,0,MC,1,BLUER,Buddy Guy,Slipping In,,
0,0,MC,1,BLUER,Buddy Guy,Sweet Tea,,
0,0,M3,1,BLUER,Buddy Guy,The Blues Dont Lie,,
0,0,MC,1,BLUER,Buddy Guy,Very Best Of,,
660000,63,VL,1,ROCK1,Buffalo Springfield,Buffalo Springfield,,
670000,64,MP,1,ROCK1,Buffalo Springfield,Again,,
670000,64,VL,1,ROCK1,Buffalo Springfield,Again,,
680000,65,VL,1,ROCK1,Buffalo Springfield,Last Time Around,,
0,0,M3,1,ROCK4,Byrds,Essential,,
0,0,MC,1,ROCK4,Byrds,Sweetheart of the Rodeo,,
0,0,MC,1,ROCK4,Byrds,Younger Than Yesterday,,
670807,161,MC,1,ROCK4,Byrds,Greatest Hits V1 + V2,,
700914,68,MD,2,ROCK4,Byrds,Untitled,,
730307,0,MD,1,ROCK4,Byrds,Byrds,,
791199,0,MD,1,ROCK4,Byrds,Byrds Play Dylan,,
0,0,M3,1,ROCK4,CSNY,CSNY 1974,,
0,173,VL,1,ROCK4,CSNY,Crosby and Nash,,
0,37,XX,2,ROCK4,CSNY,Live at Felt Forum,,
0,0,MD,1,ROCK4,CSNY,So Far,,
690000,13,MC,1,ROCK4,CSNY,Crosby Stills and Nash,DAMAGED,
700000,32,KP,1,ROCK4,CSNY,Deja Vu,,
700000,32,MC,1,ROCK4,CSNY,Deja Vu,DAMAGED,
700000,101,XX,1,ROCK4,CSNY,Wooden Nickel,Bootleg,
710000,73,M3,2,ROCK4,CSNY,Four Way Street,,
0,0,MC,1,ROCK1,Cake,Comfort Eagle,,
0,0,MC,1,ROCK1,Cake,Motorcade of Generosity,,
